书名,作者,出版时间,出版商,简介,评分,评分人数,电子版价格,装帧,价格,价格区间,评分区间
付き合ってあげてもいいかな（1）,[日] たみふる , 2019-1-11 , 小学館 ,私に、彼女ができました。超モテるのに「好きな人と両想いになったことがない」パッと見いい女のみわ。大学入学を機に軽音サークルに入り、絶対友達にならないタ...,9.1,88,-1.0,error,-1.0,,9星以上
帮我拍拍,七小皇叔 , 2024-7 , 中原农民出版社 ,刚离职的糊作者于舟打完麻将回家，发现一位古代的丞相小姐向挽，端坐在自家沙发上，简单地互相磨合后，她中二地接受了这位穿越而来“室友”。另一边，于舟的糊小说要...,8.7,71,48.0,error,-1.0,,8~9星
安達與島村01,"入間人間、のん、[日本] 入间人间 , 哈泥蛙 ", 2014-3-27 , 台灣角川 ,★奇才入間人間又一校園系力作登場！★高中女孩間的微妙友誼物語就此展開。高一女學生安達與島村是好朋友，她們總是膩在一起聊天，偶爾打桌球，培育著名為友情的...,8.7,430,-1.0,error,-1.0,,8~9星
涅朵奇卡:一个女人的一生,"陀思妥耶夫斯基 , 于大卫 ", 2023-9 , 山东文艺出版社 ,【编辑推荐】◆陀思妥耶夫斯基高分神作，全新回归。◆王小波读完终生难忘：“我看了这本书，而且终生记住了前半部。我到现在还认为这是一本最好的书，顶得上大部头...,8.6,11682,45.0,纸质版,22.5,20~40元,8~9星
少女妄想中,"入間人間 , 蘇暐婷 ", 2017-8-10 , 台灣角川 ,我喜欢的，就只是你……「我想，这应该就是我的初恋吧！」│我总是追著那个人的身后，「向往」著她。│在梦中，我和在海边的那个女孩，度过了无可取代的美好时光。│...,8.6,233,-1.0,error,-1.0,,8~9星
citrus~柑橘味香氣~,"サブロウタ , 韓珮 ", 2015-3-6 , 東立 ,從來沒有談過戀愛的辣妹女高中生柚子，一本正經的黑髮美女學生會長芽依。兩人因父母再婚而成為姊妹，初此見面就對彼此留下最惡劣的印象。但在學校意外目擊芽依被帥哥導...,8.4,989,-1.0,error,-1.0,,8~9星
裏世界ピクニック4:裏世界夜行,error, 早川書房 ,宮澤伊織 ,内容紹介季節は、やがて冬へ。閏間冴月を信仰する団体による襲撃ののち、拠点となっていた〈山の牧場〉を調査する空魚と鳥子たち。裏世界はいまだに危険な謎だらけ、...,8.3,19,-1.0,纸质版,70.0,60~80元,8~9星
"ヴァンピアーズ1:Vampeerz,MyPeerVampires.",アキリ、東山翔 , 2019-8-19 , 小学館 ,ヒトの少女と吸血鬼の少女、小さな恋の物語「然るべき相手は自分の心が教えてくれるもの」14歳の一花は亡き祖母の教えを胸に刻み、まだ見ぬ王子さまが自分の心...,8.3,126,-1.0,error,-1.0,,8~9星
卡罗尔,"[美国] 帕特里夏·海史密斯 , 李延辉 ", 2016-2 , 上海译文出版社 ,年轻女孩特芮丝在纽约追逐舞台设计师的梦想，却只能在百货公司做售货小姐。某日，她和身陷婚姻危机的中年主妇卡罗尔在百货公司偶遇，相互吸引的两人开始书信往返、电报...,8.2,6420,38.0,纸质版,34.3,20~40元,8~9星
轻舔丝绒,"[英] 萨拉·沃特斯 , 陈萱 ", 2017-11-1 , 上海人民出版社 ,因为一朵抛掷而来的玫瑰，海滨少女从此远离家乡，追随心爱的男装丽人；因为一场毫无预料的背叛，演员南希从此堕落沉沦，把自己放逐在伦敦阴暗的街角。在这部关于情...,8.1,5692,59.0,纸质版,39.5,20~40元,8~9星
欠けた月とドーナッツ1,雨水 汐 , 2020-1-17 , 一迅社 ,オシャレをして、メイクをして、恋をする……そんな「普通」の女性に憧れるOL、宇野ひな子。しかし、彼女は男性とつき合うという「普通」の恋愛に、自信のなさ...,8.0,30,-1.0,error,-1.0,,8~9星
里世界郊游03:山的气息,"[日] 宫泽伊织 , 游凝 ", 2021-2 , 文化发展出版社 ,秋意渐浓。空鱼和鸟子好不容易在DS研破解了取子箱诅咒后，又回到了“里世界”探险的日常当中。带着便当和农用机械在异世界的草原上悠闲漫步；为解决大学学妹的烦恼而...,7.8,98,48.0,纸质版,19.8,0~20元,7~8星
天才麻將少女(01),"小林立 , 方郁仁 ", 2008年1月18日 , 東立 ,21世紀…有兩位天才女高中生，降臨在這個靠打麻將實力來左右人生的時代。一位是每一次都能夠以正負0分的方式打完牌局的少女．宮永咲。另一位是在全國中學生麻將大賽...,7.7,129,95.0,error,-1.0,,7~8星
天才麻將少女(02),"小林立 , 方郁仁 ", 2008年1月18日 , 東立 ,清澄高中麻將社在進行強化集訓之後，成功地再次進化，並且參加通往全國大賽的必經之路──縣際預賽。在高手雲集的會場中，顯得非常興奮的小咲。感受到不能戰敗的巨大壓...,7.6,62,95.0,error,-1.0,,7~8星
她的山，她的海,扶华 , 2021-9 , 江苏凤凰文艺出版社 ,女孩子像什么？女孩子像山一样沉稳厚重，女孩子像海一样辽阔美丽。两个身份性情各异的少女，相识相伴，她们共同成长，她是她的山，她是她的海。,7.3,1723,45.0,纸质版,19.41,0~20元,7~8星
轉生成女性向遊戲只有毀滅END的壞人大小姐(01),山口悟（著）、ひだかなみ（插画） , 青文出版社 , 霖之助 ,撞到頭恢復前世的記憶後，我竟然轉世成為公爵千金。咦，等一下！這根本就是我前世玩過的少女向遊戲世界吧？而且我還變成了要阻饒女主角的壞人大小姐卡塔莉娜!?結局只...,7.2,40,-1.0,纸质版,55.2,40~60元,7~8星
轉生成女性向遊戲只有毀滅END的壞人大小姐(02),山口悟（著）、ひだかなみ（插画） , 青文出版社 , 霖之助 ,轉生成上輩子玩過，女性向遊戲中壞人大小姐卡塔莉娜的我。未來面臨的只有壞結局──拜託，這未免太過分了吧!?　千方百計折斷毀滅END，終於要就讀魔法學園。在學園...,6.7,24,-1.0,纸质版,55.2,40~60元,6~7星
轉生成女性向遊戲只有毀滅END的壞人大小姐(03),山口悟（著）、ひだかなみ（插画） , 青文出版社 , 霖之助 ,我轉生成女性向遊戲的壞人大小姐卡塔莉娜。盡全力躲避在魔法學園中等待我的壞結局後，優秀的夥伴變多了喔！最大的危機遠離，在首次迎接的學園祭痛快玩耍的我，太過得意...,6.4,24,-1.0,error,-1.0,,6~7星
